isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST NORTH 177 10
true false NORTH SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST NORTH 176 20
true false NORTH SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST WEST 175 30
true false WEST NORTH 174 40
true false NORTH WEST 174 40
true false WEST EAST 173 50
true false EAST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST EAST 173 50
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH WEST 171 70
true false WEST WEST 170 80
true false WEST EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 168 100
true false SOUTH SOUTH 167 110
true false SOUTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST WEST 166 120
true false WEST NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST NORTH 164 140
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH NORTH 161 170
true false NORTH WEST 160 180
true false WEST EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST NORTH 159 190
true false NORTH WEST 159 190
